titulo,autor,año,genero,valoracion,portada
Cien años de soledad,Gabriel García Márquez,1967,"Realismo mágico, Ficción",5,
El Aleph,Jorge Luis Borges,1949,"Ficción, Cuentos, Fantástico",5,
La sombra del viento,Carlos Ruiz Zafón,2001,"Novela, Misterio, Histórica",4,
1984,George Orwell,1949,"Distopía, Ciencia ficción, Política",5,
Don Quijote de la Mancha,Miguel de Cervantes,1605,"Novela, Clásico, Aventura",5,
Rayuela,Julio Cortázar,1963,"Ficción, Experimental",4,
Pedro Páramo,Juan Rulfo,1955,"Realismo mágico, Novela",5,
El laberinto de la soledad,Octavio Paz,1950,"Ensayo, Filosofía",4,
Ficciones,Jorge Luis Borges,1944,"Cuentos, Fantástico",5,
La Casa de los Espíritus,Isabel Allende,1982,"Realismo mágico, Ficción",4,
El amor en los tiempos del cólera,Gabriel García Márquez,1985,"Romance, Ficción",4,
Los detectives salvajes,Roberto Bolaño,1998,"Novela, Ficción",5,
Poeta en Nueva York,Federico García Lorca,1940,"Poesía, Surrealismo",5,
Conversación en La Catedral,Mario Vargas Llosa,1969,"Novela, Política",4,
La ciudad y los perros,Mario Vargas Llosa,1963,"Novela, Realismo",4,
Sobre héroes y tumbas,Ernesto Sabato,1961,"Novela, Existencialismo",5,
Veinte poemas de amor y una canción desesperada,Pablo Neruda,1924,"Poesía, Romance",5,
El túnel,Ernesto Sabato,1948,"Novela, Psicológico",4,
La tregua,Mario Benedetti,1960,"Novela, Romance",4,
Hopscotch,Julio Cortázar,1963,"Ficción, Experimental",4,
